"Observation","Cooks_Distance"
849,5.58999107136963e-06
850,1.1551153820354e-06
851,0.000108968547751214
852,0.000155950759692139
853,0.000215282388975214
854,6.87586119777211e-05
855,0.000145379972546678
856,6.36500698212039e-05
857,2.67695767264623e-06
858,4.4816364788677e-08
859,0.00441671173745983
860,2.23523423949553e-05
861,8.01779312620121e-05
862,8.75853457407922e-05
863,0.00174249805176789
864,0.00530530300349501
865,0.00362721870842068
866,0.0247987367440143
867,0.000237367654285351
868,0.000187507932455913
869,4.25627957592878e-06
870,5.82937446791154e-05
871,6.97110213917148e-07
872,0.000414189775910298
873,0.000251710105338877
874,0.000704675891042719
875,1.31151019129796e-09
876,0.00146688136750916
877,4.54706502203325e-05
878,0.00146123092050528
879,5.01793278047422e-06
880,4.35367009531537e-05
881,0.000342319304679006
882,0.00696286635975659
883,0.000137376135978146
884,0.000577277543193116
885,0.0013728055493647
886,0.00869592389615013
887,2.86675639367763e-06
888,0.000555480859359908
889,2.83094025199617e-06
890,7.18046895766844e-05
891,1.31840379425581e-05
892,0.000116626616929425
893,0.00157966319144283
894,3.93819101658869e-06
895,3.69804201314762e-06
896,4.83751834266715e-05
897,9.50145857609712e-07
898,1.01365413591593e-05
899,0.000113722782506463
900,1.7490047750259e-05
901,3.7452011866994e-05
902,2.51471012393425e-05
903,3.34690151078763e-05
904,0.00114648498688842
905,0.00172268397451252
906,0.00204843695169515
907,4.44493042743574e-07
908,1.05373919166991e-06
909,7.05739766978044e-05
910,0.00598089570031572
911,0.000208630456018321
912,0.000572603720400188
913,0.00100412507824199
914,2.78532293790109e-06
915,3.2327601621741e-05
916,0.000396293698438453
917,1.76121077079637e-05
918,0.000147185491935159
919,4.38946303997701e-12
920,2.86027346975274e-07
921,1.42155790647522e-05
922,0.000234158653275028
923,2.45926954749991e-08
924,4.44766990904479e-06
925,0.00814948235067551
926,0.000404797254038753
927,0.000889648601124273
928,6.6275553864089e-07
929,0.00077009812017731
930,0.00228403783111221
931,7.05215938966373e-05
932,7.6501642401072e-05
933,9.80558419489987e-05
934,0.000962010163471873
935,1.98083826884861e-08
936,2.26573831124314e-06
937,4.03662145410673e-08
938,0.000638809572646107
939,6.40279534506672e-07
940,8.98571792400489e-05
941,6.70615826720235e-07
942,3.30685568973497e-07
943,1.65585851202466e-08
944,1.26810811091591e-06
945,6.17315108281986e-08
946,1.53932863212798e-07
947,3.29809679906076e-07
948,0.000114615789431093
949,0.000513451830692059
950,0.00077559896574703
951,2.33995185428981e-07
952,1.63295683714812e-06
953,0.00183291376456432
954,5.13297069104692e-06
955,0.000136082303717124
956,0.000122613138163789
957,0.000488962945029566
958,1.92736480366619e-05
959,8.51716594428101e-07
960,0.0076911936397343
961,7.30050840421595e-07
962,0.000163252031544417
963,8.19693511058379e-07
964,9.32772590158323e-08
965,4.53297038991046e-07
966,0.000123823241990764
967,1.63661573248629e-05
968,0.004992687717894
969,3.99219445846598e-06
970,0.00135235075310339
971,2.89556818100457e-05
972,3.46933582648146e-05
973,5.76592674769947e-05
974,1.13285873558839e-06
975,0.00731412242832826
976,7.71513573716539e-05
977,0.000498324619606948
978,4.54272863838041e-06
979,5.80287813155666e-05
980,0.000136431420424326
981,5.43323118564866e-07
982,5.76102106862606e-08
983,0.00271858352834197
984,0.000681412397109741
985,0.00077787737800989
986,2.57048647432107e-06
987,0.000398020218420014
988,0.00372947251967855
989,0.000232382697657599
990,2.84617095590737e-05
991,1.25998227957797e-05
992,0.000410849642955248
993,0.000221192591236576
994,3.94083065120923e-05
995,1.87127748707288e-05
996,6.67611657773734e-06
997,5.34732545291964e-06
998,0.000113375102305361
999,0.000457197368079752
1000,0.00590081853238373
1001,5.23865585531e-07
1002,0.000157782654411094
1003,2.77110809439169e-06
1004,6.28654617263478e-08
1005,1.4478699407296e-05
1006,8.11690595507228e-08
1007,1.48714446646907e-06
1008,0.000354391371236818
1009,0.000555093155903869
1010,6.52445004946383e-06
1011,0.00154398250954777
1012,0.000173486014772346
1013,1.04883293034985e-06
1014,0.00015648996931134
1015,2.51332379593758e-06
1016,0.00510606247330311
1017,2.40295241132722e-05
1018,0.00267119688748791
1019,9.629079716489e-06
1020,1.51142529419775e-07
1021,3.59172607430123e-05
1022,0.00220480557671224
1023,2.97356315831556e-05
1024,2.53383689389032e-05
1025,3.68394552499772e-07
1026,0.00460238481325976
1027,0.0113694036001011
1028,3.37884817817399e-05
1029,7.43243485279688e-05
1030,6.75005508801833e-05
1031,0.000451810357772444
1032,0.0153875970967497
1033,2.31225287168526e-08
1034,7.53003075957074e-07
1035,0.000129096506683015
1036,0.000487008769024158
1037,6.24309186368014e-06
1038,9.56991391399118e-06
1039,0.002006097855768
1040,4.39947478155639e-05
1041,0.000110251999132578
1042,0.000151162921891491
1043,0.0121659316378073
1044,0.000881696229215175
1045,1.40592034834013e-07
1046,5.78699378405951e-05
1047,2.00499015683377e-05
1048,0.000998906514322064
1049,6.34416046101715e-06
1050,0.000526638564464321
1051,0.000247085580519858
1052,2.46567565250305e-08
1053,5.78478248464939e-07
1054,0.000103302467431175
1055,2.75807452152694e-05
1056,0.000136670360693618
1057,1.14783328116122e-07
1058,0.000270081189532446
1059,9.98786724888745e-05
1060,6.46451336515192e-06
1061,4.44175312556604e-06
